description,Comp,Pos,Neu,Neg
The S&P 500 scored another record high on Friday and booked a week of solid gains following a strong U.S. jobs report and positive data for Pfizer's experimental pill against COVID-19.,0.872,0.304,0.696,0
"U.S. stock indexes were set to rebound on Thursday from a two-day selloff over signs of prolonged inflation, while Walt Disney Co tumbled as growth slowed in its streaming video service.",0.3818,0.082,0.918,0
"Japan's Nikkei share average rose on Friday, as chipmaking giants tracked a rally in their U.S. peers and energy shares surged after oil prices dipped.",0.6705,0.236,0.764,0
"Nasdaq index futures hit a record high on Friday as investors sought economically stable sectors after a small delay in voting on President Joe Biden's $1.75 trillion spending bill, while rising COVID-19 cases in Europe also dented sentiment.",-0.0258,0.057,0.883,0.06
"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",0.6369,0.178,0.822,0
"Also, an aggressive strategy to trade the top of what might be a trading range for the S&P 500.",0.0516,0.093,0.825,0.082
"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",0.6369,0.178,0.822,0
"The S&P 500 boasted a record closing high and its seventh straight session of gains on Thursday while the Nasdaq was boosted by such high-profile stocks as Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> and Microsoft…",0.7003,0.185,0.815,0
"Futures tracking the S&P 500 and Nasdaq indexes hit a record high on Friday, boosted by a batch of strong earnings reports and Pfizer, while investors looked to monthly employment data for clues on the pace of economic growth.",0.8126,0.198,0.802,0
"The S&P 500 and Nasdaq rose to record intraday highs on Thursday as chipmaker stocks surged following Qualcomm's <a href=""https://www.reuters.com/companies/QCOM.O"" target=""_blank"">(QCOM.O)</a> strong financial forecast and investors digested the Federal Reser…",0.5106,0.102,0.898,0
"Major Wall Street indexes posted solid gains and marked closing record highs as the Federal Reserve said it will begin trimming its monthly bond purchases in November with plans to end them in 2022, an announcement that investors had been expecting.",0.4588,0.093,0.907,0
"U.S. stocks gained on Wednesday, with major indexes hitting record highs, as the Federal Reserve said it will begin trimming its monthly bond purchases in November with plans to end them in 2022, an announcement that investors had been expecting.",0.3818,0.062,0.938,0
"Should Elon Musk decide to unload some of his stake in Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a>, he will be capitalizing on a massive rally that has made the electric-vehicle maker one of the world's most valua…",0,0,1,0
"Wall Street ended the session in negative territory on Wednesday as investor risk appetitive was curbed by surging consumer prices, which stoked worries of a protracted wave of hot inflation.",-0.8225,0,0.751,0.249
"The S&P 500 and the Nasdaq inched higher on Thursday, with chipmakers helping the indexes resume their climb after hotter-than-expected inflation reports dampened investor sentiment and halted a streak of record closing highs.",0.296,0.066,0.934,0
U.S. stocks closed higher on Tuesday as earnings from Home Depot and retail sales data signaled solid consumer health and eased worries about a Federal Reserve that may have to become more aggressive in the face of rising inflation.,-0.2247,0.089,0.8,0.11
"U.S. stocks climbed on Tuesday, as earnings from Home Depot and stronger than expected retail sales data signaled solid consumer health and eased concerns about a Federal Reserve that may need to become more aggressive to combat rising inflation.",0.2128,0.146,0.751,0.104
"Stock markets slipped on Thursday and safe havens such as government bonds, gold and the yen were supported in Asia, as a hint of uneasiness crept in over the outlook for interest rates and growth, particularly outside of the United States.",0.875,0.271,0.677,0.052
"Both the S&P 500 and the Nasdaq eked out record closing highs after a topsy-turvy Thursday on Wall Street, as investors focused on upbeat retail and technology earnings which outshone hawkish inflation comments from a Federal Reserve policymaker.",0.3818,0.069,0.931,0
The S&P 500 and Nasdaq reversed course to edge higher in volatile trading on Thursday after a clutch of upbeat retail and technology earnings encouraged investors to shrug off hawkish comments on inflation from a Federal Reserve policymaker.,0.3612,0.067,0.933,0
"Wall Street closed lower on Tuesday, ending a multi-day rally of consecutive record closing highs as profit-taking and worries over ongoing inflation fueled a broad sell-off.",-0.6124,0,0.815,0.185
"Wall Street slid on Tuesday, bringing a multi-day rally of straight record closing highs to a close as profit-taking and worries over ongoing inflation fueled a broad sell-off.",-0.2263,0.069,0.83,0.101
Wall Street gained on Friday with market-leading growth stocks helping the indexes resume their climb as investors shrugged off disappointing economic data.,0.4939,0.259,0.629,0.112
"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",0.6369,0.178,0.822,0
"Wall Street closed higher on Thursday, with the S&P 500 and Nasdaq boasting record closing levels thanks partly to gains by  Apple and Amazon, while solid results from companies including Caterpillar and Merck helped ease concerns about slowing economic growt…",0.8326,0.236,0.764,0
"The Nasdaq hit a record high on Thursday, boosted by gains in Apple and Amazon ahead of their quarterly earnings, while solid results from companies such as Caterpillar and Merck helped ease concerns about slowing economic growth denting corporate profits.",0.9217,0.336,0.664,0
"Wall Street stocks closed higher on Friday, with market-leading growth shares kick-starting indexes' climb as investors looked past disappointing U.S. economic data.",0.1531,0.178,0.704,0.119
"Wall Street's main indexes rose modestly on Tuesday to intraday record highs as a strong earnings season continued to lift sentiment for equities, while investors were looking ahead to a critical Federal Reserve meeting.",0.25,0.093,0.843,0.065
"The S&P 500 and Dow futures hit record highs on Tuesday as Facebook rose after its quarterly results and a share buyback plan, turning the spotlight on its technology peers set to report later in the day.",0.296,0.059,0.941,0
"The S&P 500 and Nasdaq futures were at record highs on Thursday, propped up by a slew of stellar earnings reports and as investors shrugged off the Federal Reserve's first steps to begin paring its pandemic-era support.",0.4019,0.072,0.928,0
"U.S. stock indexes closed modestly higher on Tuesday, with the Dow Industrials and S&P 500 hitting fresh records, and gains were subdued as Facebook shares fell in the wake of its quarterly earnings.",0.7096,0.187,0.813,0
"U.S. stock indexes closed modestly higher on Tuesday, with the Dow Industrials and S&P 500 hitting fresh records, and gains were subdued as Facebook shares fell in the wake of its quarterly earnings.",0.7096,0.187,0.813,0
"U.S. stock index futures were largely steady on Wednesday as investors refrained from making big bets ahead of the conclusion of the Federal Reserve's meeting, where policymakers are widely expected to signal the withdrawal of the pandemic-era support.",0.4215,0.095,0.905,0
The Federal Reserve's taper in 2014 was preceded by sharp gyrations in Treasury markets and helped lay the foundations for a massive rally in the U.S. dollar.,0.2023,0.067,0.933,0
"With General Electric's <a href=""https://www.reuters.com/companies/GE.N"" target=""_blank"">(GE.N)</a> decision to break up into three separate companies, investors who have held the stock through a long, troubled period may be hoping the move will give the cong…",-0.0516,0.076,0.842,0.082
"Inflation fears pressured Asian stocks and buoyed the dollar at an almost 16-month high on Thursday after U.S. consumer prices surged at the fastest pace since 1990, boosting the case for faster Federal Reserve policy tightening.",-0.3182,0.06,0.823,0.117
The dollar hit a 16-month high on Thursday and bond and stock markets drooped after the strongest U.S. inflation reading in over three decades fuelled expectations of Fed interest rate hikes next year.,0.7096,0.164,0.836,0
"The S&P 500 ended only nominally higher on Thursday, with chipmakers helping push the Nasdaq into green territory in a muted Veterans Day session, the day after hotter-than-expected inflation reports dampened investor sentiment and halted a streak of record c…",0.296,0.056,0.944,0
"Asian share prices advanced on Friday as a shock from a surprisingly strong U.S. inflation reading ebbed, with investors  hopeful that the worst price hikes could be soon over.",0.6486,0.327,0.504,0.169
Recent gains in U.S. retailer shares could be put to the test in the coming days as top companies in the sector report quarterly results and investors hunt for clues about how well they have managed supply chain problems.,0.5859,0.188,0.752,0.06
"The dollar reached a four-and-a-half-year high against the yen on Wednesday after better-than-expected U.S. retail data, which also boosted Wall Street equities, although Asian shares failed to follow suit.",0.2023,0.183,0.719,0.099
"The S&P 500 and Nasdaq remained positive into early afternoon trading on a topsy-turvy Thursday on Wall Street, with investors taking cues from upbeat retail and technology earnings despite hawkish inflation comments from a Federal Reserve policymaker.",0.5574,0.096,0.904,0
"Both the S&P 500 and the Nasdaq eked out record closing highs after a topsy-turvy Thursday, as investors focused on upbeat retail and technology earnings which outshone hawkish inflation comments from a Federal Reserve policymaker.",0.3818,0.075,0.925,0
"The S&P 500 and Nasdaq closed lower on Friday as disappointing quarterly reports from Snap Inc <a href=""https://www.reuters.com/companies/SNAP.N"" target=""_blank"">(SNAP.N)</a> and Intel Corp <a href=""https://www.reuters.com/companies/INTC.O"" target=""_blank"">(I…",-0.6597,0,0.81,0.19
"Tech stocks climbed in Asia on Friday, following U.S. peers higher, while Chinese property stocks rallied following a <a href=""https://www.reuters.com/world/china/china-evergrande-sends-funds-trustee-bond-coupon-due-sept-23-source-2021-10-22"" target=""_blank"">…",0,0,1,0
"U.S. stock index futures edged higher on Thursday, led by gains in Caterpillar, Merck and Ford after upbeat quarterly earnings, while investors awaited data that will likely throw light on the pace of the economic recovery.",0.3182,0.064,0.907,0.029
Asian shares followed Wall Street higher in early trade on Tuesday as the passage of a U.S. infrastructure bill boosted sentiment while oil prices gained on the outlook for energy demand in an expansive global economy.,0.7845,0.23,0.733,0.037
"Major U.S. stock indexes advanced on Tuesday, with the Dow Industrials and S&P 500 hitting intraday records, although gains were kept in check as Facebook shares fell in the wake of its quarterly earnings.",0.6808,0.176,0.824,0
"The S&P 500 and Nasdaq rose to record highs on Thursday as chipmaker stocks surged following Qualcomm's <a href=""https://www.reuters.com/companies/QCOM.O"" target=""_blank"">(QCOM.O)</a> strong financial forecast and investors digested the Federal Reserve's deci…",0.5106,0.102,0.898,0
"The S&P 500 ended essentially flat on Thursday, with chipmakers helping push the Nasdaq into positive territory in a subdued Veterans Day session, the day after hotter-than-expected inflation reports dampened investor sentiment and halted a streak of record c…",0.7003,0.142,0.858,0
